"shapeID";"year";"queries"
36005003300;2007;347,28594092309
36005003300;2008;332,714587897453
36005003300;2009;346,925935536258
36005003300;2010;297,664859041263
36005003300;2011;299,851342251974
36005003300;2012;327,596746274274
36005003300;2013;442,423224098153
36005003300;2014;487,857822769269
36005003300;2015;591,690252289901
36005003300;2016;695,603226791569
36005003300;2017;227,093506015627
36005003500;2004;455,274018341468
36005003500;2005;432,93522690082
36005003500;2006;299,136379389121
36005003500;2007;306,57196838424
36005003500;2008;319,290392663413
36005003500;2009;433,017633885171
36005003500;2010;391,347608383234
36005003500;2011;381,9208363307
36005003500;2012;322,008816942585
36005003500;2013;334,101835807377
36005003500;2014;384,289133100186
36005003500;2015;415,475170829769
36005003500;2016;446,800107074926
36005003500;2017;137,569449257787
36005003700;2004;467,131616572528
36005003700;2005;569,244143639972
36005003700;2006;381,632383261381
36005003700;2007;339,522658751259
36005003700;2008;322,363545001679
36005003700;2009;330,836814513479
36005003700;2010;288,663952175373
36005003700;2011;285,787425274021
36005003700;2012;311,395113915672
36005003700;2013;412,832742776539
36005003700;2014;464,567976253778
36005003700;2015;563,899952341465
36005003700;2016;670,175664895429
36005003700;2017;215,504838425793
36005003800;2004;364,16763481618
36005003800;2005;451,590835433667
36005003800;2006;438,618807811267
36005003800;2007;413,916481766035
36005003800;2008;421,018747976442
36005003800;2009;439,060656680487
36005003800;2010;475,883897187857
36005003800;2011;456,381591087567
36005003800;2012;512,865348660832
36005003800;2013;576,363042560543
36005003800;2014;612,470020696237
36005003800;2015;669,19560719378
36005003800;2016;745,288649003028
36005003800;2017;248,70242576994
36005003900;2004;554,034584939393
36005003900;2005;601,777049746542
36005003900;2006;369,154008316395
36005003900;2007;308,77237763683
36005003900;2008;281,36317018244
36005003900;2009;267,107971044445
36005003900;2010;253,011452332557
36005003900;2011;230,08039426962
36005003900;2012;247,220614198602
36005003900;2013;295,62514954328
36005003900;2014;372,31713291049
36005003900;2015;453,822859076769
36005003900;2016;569,457352839473
36005003900;2017;169,602244878167
36005004001;2004;302,561284469114
36005004001;2005;327,563259277307
36005004001;2006;345,874726247853
36005004001;2007;402,453269193969
36005004001;2008;391,294208493542
36005004001;2009;412,908513196132
36005004001;2010;458,048340611362
36005004001;2011;506,455244002163
36005004001;2012;584,45919361855
36005004001;2013;744,181513596284
36005004001;2014;806,618254318977
36005004001;2015;867,681878599147
36005004001;2016;921,218005358483
36005004001;2017;312,281629638654
36005004100;2004;525,729495993711
36005004100;2005;591,180785679697
36005004100;2006;373,21832878039
36005004100;2007;318,788024494533
36005004100;2008;294,717365992711
36005004100;2009;287,865036271279
36005004100;2010;264,623796515401
36005004100;2011;248,224682055313
36005004100;2012;268,122833727721
36005004100;2013;333,800731044379
36005004100;2014;402,364073483599
36005004100;2015;489,675971741299
36005004100;2016;602,262225156007
36005004100;2017;184,553138013578
36005004200;2004;450,324877009807
36005004200;2005;541,674449910675
36005004200;2006;509,975640648697
36005004200;2007;487,068703037041
36005004200;2008;483,697126563183
